Paese,Clic,Impressioni,CTR,Posizione
Italia,302,7101,4.25%,7.59
Spagna,4,572,0.7%,7.78
Germania,4,150,2.67%,7.7
Francia,4,85,4.71%,8.92
Lettonia,4,8,50%,3.38
Brasile,3,309,0.97%,7.64
Argentina,3,95,3.16%,7.62
Polonia,3,17,17.65%,10.24
Ucraina,2,88,2.27%,13.25
Svizzera,2,53,3.77%,7
Russia,2,49,4.08%,14.9
Israele,2,15,13.33%,7.73
Corea del Sud,2,10,20%,10.6
Stati Uniti,1,697,0.14%,7.43
Portogallo,1,63,1.59%,6.29
Cile,1,61,1.64%,6.48
Australia,1,29,3.45%,12.66
Canada,1,25,4%,14.88
Lituania,1,15,6.67%,9.6
Ungheria,1,10,10%,6.8
Moldavia,1,6,16.67%,2
Messico,0,161,0%,8.29
India,0,91,0%,14.92
Perù,0,79,0%,8.85
Regno Unito,0,71,0%,13.94
Colombia,0,70,0%,8.09
Filippine,0,56,0%,15.66
Paesi Bassi,0,42,0%,8.67
Turchia,0,29,0%,5.86
Romania,0,28,0%,6.96
Indonesia,0,27,0%,8.19
Venezuela,0,26,0%,8.19
Vietnam,0,21,0%,10.76
Ecuador,0,20,0%,11.15
Belgio,0,16,0%,4.88
Bolivia,0,16,0%,8.75
Repubblica Ceca,0,16,0%,9.31
Pakistan,0,15,0%,8.53
Austria,0,14,0%,4.86
Finlandia,0,13,0%,5.15
Costa Rica,0,12,0%,8.58
Paraguay,0,12,0%,10.83
Guatemala,0,11,0%,5.18
Cina,0,11,0%,11.55
Bulgaria,0,11,0%,36.27
El Salvador,0,10,0%,5
Albania,0,10,0%,5.5
Grecia,0,10,0%,7.6
San Marino,0,10,0%,9.2
Malta,0,10,0%,14.5
Kazakistan,0,10,0%,16.1
Svezia,0,9,0%,6.56
Giappone,0,9,0%,8.89
Honduras,0,9,0%,9.78
Slovacchia,0,9,0%,12.33
Malaysia,0,8,0%,2.75
Bangladesh,0,8,0%,5.5
Serbia,0,7,0%,4.14
Uruguay,0,7,0%,6.57
Cuba,0,7,0%,9.71
Singapore,0,7,0%,12.86
Egitto,0,7,0%,19
Irlanda,0,7,0%,21.14
Tanzania,0,6,0%,5.33
Bielorussia,0,6,0%,8.5
Arabia Saudita,0,6,0%,10
Croazia,0,5,0%,6
Panama,0,5,0%,6.2
Estonia,0,5,0%,14.2
Taiwan,0,5,0%,14.8
Uzbekistan,0,5,0%,16.6
Costa d'Avorio,0,5,0%,29.6
Emirati Arabi Uniti,0,4,0%,5.5
Nicaragua,0,4,0%,6
Sudafrica,0,4,0%,6.75
Iran,0,4,0%,9.75
Azerbaigian,0,4,0%,13.25
Nigeria,0,4,0%,25.5
Marocco,0,4,0%,25.75
Hong Kong,0,3,0%,1
Norvegia,0,3,0%,1.67
Angola,0,3,0%,2
Nuova Zelanda,0,3,0%,2.67
Sri Lanka,0,3,0%,4
Curaçao,0,3,0%,7
Repubblica Dominicana,0,3,0%,7.33
Mozambico,0,3,0%,9.67
Danimarca,0,3,0%,10.67
Kenya,0,3,0%,11.67
Giordania,0,3,0%,22.33
Maldive,0,3,0%,25
Slovenia,0,2,0%,1.5
Belize,0,2,0%,3
Giamaica,0,2,0%,3
Portorico,0,2,0%,4.5
Islanda,0,2,0%,7
Tailandia,0,2,0%,9
Andorra,0,2,0%,12
Armenia,0,2,0%,17.5
Georgia,0,1,0%,1
Kirghizistan,0,1,0%,1
Montenegro,0,1,0%,1
Senegal,0,1,0%,1
Bosnia ed Erzegovina,0,1,0%,2
Cambogia,0,1,0%,2
Nepal,0,1,0%,2
Ghana,0,1,0%,3
Siria,0,1,0%,3
Cipro,0,1,0%,4
Camerun,0,1,0%,6
Tunisia,0,1,0%,8
Somalia,0,1,0%,9
Aruba,0,1,0%,10
Togo,0,1,0%,21
Iraq,0,1,0%,32
Algeria,0,1,0%,43
Botswana,0,1,0%,50